code_module,code_presentation,id_student,mean_score,max_score,min_score,std_score,n_assessments_submitted,total_weighted_score,mean_submission_date,late_submissions
AAA,2013J,147793,52.0,52.0,52.0,0.0,1,5.2,32.0,0
AAA,2013J,148993,72.0,78.0,68.0,5.291502622129181,3,36.4,70.0,0
AAA,2013J,151358,50.0,54.0,45.0,3.6742346141747673,5,49.6,110.6,0
AAA,2013J,155550,67.0,75.0,61.0,5.147815070493501,5,66.0,115.0,0
AAA,2013J,155854,79.8,82.0,78.0,1.6431676725154978,5,79.4,113.2,0
AAA,2013J,155984,80.0,85.0,75.0,7.0710678118654755,2,23.5,54.5,0
AAA,2013J,157568,70.6,81.0,59.0,10.4546640309481,5,68.6,123.6,0
AAA,2013J,159954,66.5,68.0,65.0,2.1213203435596424,2,20.1,40.0,0
AAA,2013J,164259,71.8,82.0,58.0,9.338094023943,5,70.4,113.8,0
AAA,2013J,167906,69.4,82.0,58.0,10.18822850156002,5,70.9,117.0,0
AAA,2013J,168936,66.4,79.0,54.0,10.644247272588137,5,64.9,114.2,0
AAA,2013J,172112,69.6,75.0,60.0,6.188699378706322,5,71.1,121.2,0
AAA,2013J,172797,61.4,67.0,54.0,5.272570530585626,5,61.4,115.0,0
AAA,2013J,174782,80.4,83.0,77.0,2.60768096208106,5,80.1,112.2,0
AAA,2013J,175392,82.4,93.0,74.0,7.23187389270582,5,81.7,112.4,0
AAA,2013J,175932,78.2,82.0,73.0,3.8987177379235836,5,78.8,114.6,0
AAA,2013J,175991,37.6,51.0,28.0,9.071934744033381,5,36.0,130.4,0
AAA,2013J,180753,53.4,61.0,44.0,8.619744775803978,5,51.7,111.4,0
AAA,2013J,181316,76.0,76.0,76.0,0.0,1,7.6,20.0,0
AAA,2013J,183096,54.0,57.0,51.0,2.8284271247461894,5,54.0,114.8,0
AAA,2013J,183947,49.0,67.0,33.0,12.668859459319927,5,46.6,115.2,0
AAA,2013J,184271,59.8,65.0,53.0,5.890670590009256,5,58.7,111.6,0
AAA,2013J,185439,74.0,74.0,74.0,0.0,1,7.4,24.0,0
AAA,2013J,186149,76.0,85.0,55.0,11.999999999999998,5,75.6,122.8,0
AAA,2013J,187100,89.2,90.0,88.0,1.095445115010332,5,89.4,112.2,0
AAA,2013J,188278,76.0,76.0,76.0,0.0,1,7.6,19.0,0
AAA,2013J,189879,79.4,85.0,70.0,6.268971207462994,5,78.80000000000001,113.6,0
AAA,2013J,192183,68.4,75.0,58.0,7.092249290598859,5,66.69999999999999,114.6,0
AAA,2013J,195262,50.0,50.0,50.0,0.0,1,10.0,118.0,0
AAA,2013J,200860,54.4,69.0,33.0,13.296616110875728,5,50.8,112.2,0
AAA,2013J,202635,66.66666666666667,70.0,62.0,4.163331998932267,3,33.2,73.66666666666667,0
AAA,2013J,205350,72.2,87.0,59.0,10.73312629199899,5,72.2,114.2,0
AAA,2013J,205719,56.666666666666664,67.0,40.0,14.571661996262929,3,27.299999999999997,67.0,0
AAA,2013J,227499,83.6,84.0,83.0,0.5477225575051643,5,83.5,113.2,0
AAA,2013J,227517,62.6,67.0,54.0,5.128352561983235,5,61.7,113.6,0
AAA,2013J,228082,72.4,82.0,58.0,9.502631214563678,5,74.80000000000001,114.2,0
AAA,2013J,228222,61.8,71.0,45.0,10.183319694480774,5,60.7,121.0,0
AAA,2013J,229179,66.0,73.0,55.0,6.9641941385920605,5,65.1,113.4,0
AAA,2013J,229361,78.0,82.0,75.0,3.24037034920393,5,77.5,113.2,0
AAA,2013J,231554,67.75,80.0,62.0,8.341662504161464,4,52.8,101.75,0
AAA,2013J,235507,65.0,65.0,65.0,0.0,1,6.5,18.0,0
AAA,2013J,236284,78.0,85.0,60.0,10.41633332799983,5,75.5,115.8,0
AAA,2013J,238007,79.2,86.0,68.0,8.228000972289685,5,79.5,114.2,0
AAA,2013J,240712,75.8,82.0,66.0,7.293833011524187,5,74.2,114.2,0
AAA,2013J,240884,58.4,74.0,54.0,8.763560920082657,5,56.4,112.2,0
AAA,2013J,241649,78.8,85.0,66.0,7.791020472312982,5,78.8,108.2,0
AAA,2013J,241729,58.6,64.0,51.0,5.412947441089743,5,59.6,115.2,0
AAA,2013J,242793,77.4,85.0,66.0,7.700649323271381,5,79.2,113.6,0
AAA,2013J,246834,55.6,60.0,52.0,3.5777087639996634,5,54.8,114.0,0
AAA,2013J,248270,78.4,82.0,74.0,3.0495901363953806,5,78.9,118.0,0
AAA,2013J,255548,71.4,84.0,54.0,13.813037319865606,5,68.4,119.0,0
AAA,2013J,256815,76.8,80.0,71.0,3.768288736283355,5,77.7,118.8,0
AAA,2013J,258392,58.8,64.0,54.0,3.834057902536163,5,59.1,116.4,0
AAA,2013J,258894,64.8,75.0,54.0,8.927485648266257,5,64.4,117.4,0
AAA,2013J,260355,57.5,60.0,55.0,3.5355339059327378,3,17.5,69.0,0
AAA,2013J,262011,71.0,79.0,60.0,7.106335201775948,5,72.1,116.8,0
AAA,2013J,262934,76.6,81.0,72.0,3.7815340802378086,5,76.0,113.2,0
AAA,2013J,268073,74.6,83.0,64.0,7.021395872616783,5,75.5,112.0,0
AAA,2013J,268733,43.0,51.0,35.0,11.313708498984761,2,12.1,73.5,0
AAA,2013J,271251,76.4,85.0,62.0,9.44986772394196,5,76.9,114.2,0
AAA,2013J,277880,67.66666666666667,70.0,65.0,2.516611478423583,3,33.6,70.33333333333333,0
AAA,2013J,279572,79.2,83.0,73.0,3.898717737923585,5,79.6,111.2,0
AAA,2013J,281022,73.4,77.0,70.0,2.6076809620810595,5,73.8,115.6,0
AAA,2013J,281250,55.4,65.0,40.0,10.014988766843425,5,54.3,112.0,0
AAA,2013J,282821,60.6,74.0,43.0,13.011533345459329,5,58.8,120.0,0
AAA,2013J,286488,71.0,80.0,55.0,9.72111104761179,5,73.5,116.2,0
AAA,2013J,287548,67.8,70.0,60.0,4.381780460041329,5,67.9,113.8,0
AAA,2013J,290201,70.4,78.0,58.0,7.700649323271382,5,69.80000000000001,115.4,0
AAA,2013J,290757,75.0,80.0,70.0,3.605551275463989,5,74.5,113.4,0
AAA,2013J,291334,83.6,86.0,78.0,3.209361307176241,5,82.9,114.8,0
AAA,2013J,293699,46.75,55.0,38.0,8.5,4,41.5,142.0,0
AAA,2013J,294570,78.2,82.0,72.0,4.147288270665546,5,78.69999999999999,110.6,0
AAA,2013J,294594,52.8,61.0,43.0,6.418722614352484,5,51.0,112.8,0
AAA,2013J,295741,50.2,55.0,38.0,6.942621983083912,5,51.900000000000006,114.0,0
AAA,2013J,296332,86.8,95.0,66.0,11.945710527214361,5,84.30000000000001,111.4,0
AAA,2013J,298696,80.8,87.0,70.0,7.155417527999329,5,81.8,116.8,0
AAA,2013J,300398,78.8,82.0,76.0,2.3874672772626626,5,78.3,105.6,0
AAA,2013J,302302,58.666666666666664,59.0,58.0,0.5773502691896263,3,29.400000000000002,64.66666666666667,0
AAA,2013J,305152,64.0,64.0,64.0,0.0,1,6.4,19.0,0
AAA,2013J,305386,78.0,83.0,75.0,3.391164991562634,5,78.1,114.2,0
AAA,2013J,306107,58.2,73.0,40.0,14.601369798755185,5,54.9,113.8,0
AAA,2013J,306466,82.0,88.0,76.0,5.338539126015656,5,82.6,111.2,0
AAA,2013J,306897,62.6,74.0,39.0,15.339491516996253,5,60.9,113.8,0
AAA,2013J,307061,81.2,83.0,76.0,2.949576240750526,5,81.3,114.2,0
AAA,2013J,307866,60.0,73.0,47.0,12.46327939722661,4,43.3,90.75,0
AAA,2013J,311917,59.2,67.0,46.0,8.899438184514795,5,60.4,114.4,0
AAA,2013J,312537,87.8,90.0,85.0,1.788854381999833,5,87.8,112.6,0
AAA,2013J,312782,61.8,89.0,50.0,15.626899884494046,5,58.5,113.4,0
AAA,2013J,318933,66.6,70.0,62.0,3.8470768123342696,5,66.6,106.2,0
AAA,2013J,319047,78.4,81.0,75.0,2.408318915758457,5,78.6,115.6,0
AAA,2013J,321942,80.4,82.0,80.0,0.8944271909999173,5,80.2,111.4,0
AAA,2013J,324002,80.4,85.0,69.0,6.6932802122726045,5,80.2,113.6,0
AAA,2013J,324084,57.6,72.0,35.0,14.046351839534706,5,57.5,113.6,0
AAA,2013J,324282,61.2,74.0,38.0,14.463747785411636,5,64.6,113.4,0
AAA,2013J,331358,84.0,84.0,84.0,0.0,1,8.4,18.0,0
AAA,2013J,332789,74.4,78.0,69.0,3.7815340802378064,5,75.1,113.8,0
AAA,2013J,333059,65.8,74.0,40.0,14.498275759551547,5,62.6,114.0,0
AAA,2013J,333323,74.4,78.0,71.0,3.286335345030995,5,74.19999999999999,114.2,0
AAA,2013J,334259,53.0,57.0,49.0,5.656854249492381,2,15.5,68.5,0
AAA,2013J,334333,36.0,36.0,36.0,0.0,1,3.6,18.0,0
AAA,2013J,335764,86.33333333333333,87.0,86.0,0.5773502691896247,3,43.2,65.0,0
AAA,2013J,336207,68.2,75.0,63.0,4.8166378315169185,5,67.4,112.2,0
AAA,2013J,339972,49.8,68.0,37.0,11.584472366059664,5,47.800000000000004,113.8,0
AAA,2013J,341872,64.2,70.0,60.0,3.633180424916991,5,63.8,130.2,0
AAA,2013J,342007,75.0,75.0,75.0,0.0,1,7.5,20.0,0
AAA,2013J,342514,77.2,85.0,68.0,6.457553716385174,5,78.4,104.2,0
AAA,2013J,342972,60.4,73.0,53.0,7.733045971672483,5,61.5,112.2,0
AAA,2013J,343446,78.4,86.0,74.0,4.505552130427523,5,79.6,116.6,0
AAA,2013J,344282,49.2,61.0,42.0,7.886697661252141,5,47.4,113.2,0
AAA,2013J,345068,78.0,85.0,70.0,5.70087712549569,5,79.5,115.8,0
AAA,2013J,345357,80.4,91.0,70.0,8.234075540095562,5,82.0,111.8,0
AAA,2013J,346025,82.4,85.0,75.0,4.335896677735759,5,82.4,113.2,0
AAA,2013J,350188,73.8,76.0,71.0,2.167948338867879,5,73.4,114.2,0
AAA,2013J,357668,57.0,63.0,49.0,7.211102550927978,3,29.3,63.333333333333336,0
AAA,2013J,364177,69.0,75.0,64.0,5.354126134736337,4,48.8,86.5,0
AAA,2013J,365244,56.4,64.0,50.0,5.412947441089743,5,55.6,114.2,0
AAA,2013J,365642,70.0,77.0,63.0,5.147815070493501,5,70.4,112.4,0
AAA,2013J,366483,76.8,90.0,54.0,14.93987951758648,5,77.0,112.0,0
AAA,2013J,368194,50.4,58.0,41.0,6.348228099241551,5,49.1,119.4,0
AAA,2013J,368824,55.6,68.0,39.0,14.117365193264643,5,53.7,113.4,0
AAA,2013J,368963,66.4,74.0,58.0,7.5696763471102235,5,67.4,108.8,0
AAA,2013J,376439,87.0,94.0,77.0,6.284902544988268,5,87.3,117.4,0
AAA,2013J,376581,72.8,88.0,60.0,13.311649033834989,5,73.0,116.2,0
AAA,2013J,380953,67.8,75.0,58.0,6.760177512462229,5,67.0,112.2,0
AAA,2013J,383254,75.6,85.0,69.0,7.197221686178634,5,76.30000000000001,115.8,0
AAA,2013J,386924,67.8,80.0,59.0,7.854934754662192,5,68.9,115.6,0
AAA,2013J,386952,68.0,75.0,63.0,5.0,5,68.8,116.0,0
AAA,2013J,388722,63.8,70.0,54.0,5.932958789676531,5,63.7,116.2,0
AAA,2013J,388885,60.6,75.0,51.0,9.44986772394196,5,61.9,112.4,0
AAA,2013J,390890,69.66666666666667,80.0,54.0,13.796134724383254,3,34.3,64.66666666666667,0
AAA,2013J,392756,45.0,55.0,25.0,13.171939872319491,5,43.5,114.2,0
AAA,2013J,392931,68.4,75.0,63.0,4.979959839195491,5,69.1,118.4,0
AAA,2013J,393207,74.2,80.0,68.0,4.2661458015403095,5,74.8,113.2,0
AAA,2013J,396872,61.4,68.0,54.0,5.079370039680118,5,61.1,117.2,0
AAA,2013J,398552,46.4,54.0,40.0,5.594640292279745,5,45.0,113.6,0
AAA,2013J,401869,65.0,75.0,55.0,7.382411530116701,5,67.0,117.0,0
AAA,2013J,402470,72.6,80.0,61.0,8.173126696681019,5,70.7,112.0,0
AAA,2013J,404804,43.8,52.0,30.0,9.23038460737146,5,41.6,106.0,0
AAA,2013J,405088,77.2,86.0,71.0,7.596051605933177,5,77.3,115.4,0
AAA,2013J,414117,76.4,82.0,70.0,5.319774431308154,5,76.0,116.8,0
AAA,2013J,415969,59.666666666666664,67.0,52.0,7.505553499465135,3,29.1,68.0,0
AAA,2013J,420087,76.0,80.0,72.0,4.0,3,37.6,66.33333333333333,0
AAA,2013J,429958,58.4,60.0,56.0,1.51657508881031,5,58.3,114.2,0
AAA,2013J,441018,59.8,66.0,54.0,5.761944116355173,5,61.0,113.6,0
AAA,2013J,441888,70.6,77.0,64.0,5.079370039680118,5,70.0,114.0,0
AAA,2013J,442442,40.5,42.0,39.0,2.1213203435596424,2,12.3,36.5,0
AAA,2013J,444677,87.6,91.0,84.0,2.966479394838263,5,86.9,114.2,0
AAA,2013J,470588,86.0,86.0,86.0,0.0,1,8.6,19.0,0
AAA,2013J,489455,70.6,74.0,68.0,3.130495168499705,5,70.0,110.6,0
AAA,2013J,495284,66.6,76.0,57.0,8.384509526501832,5,65.0,114.8,0
AAA,2013J,498857,73.0,77.0,68.0,3.3911649915626345,5,72.6,114.2,0
AAA,2013J,508818,71.8,81.0,54.0,10.521406750050108,5,69.9,114.2,0
AAA,2013J,512460,72.4,83.0,59.0,9.47628619238571,5,73.2,114.0,0
AAA,2013J,544103,81.0,82.0,80.0,1.0000000000000004,5,81.0,113.6,0
AAA,2013J,550383,72.0,87.0,41.0,17.86057109949175,5,73.0,115.2,0
AAA,2013J,564450,59.2,64.0,52.0,6.1400325732035,5,58.0,113.0,0
AAA,2013J,568601,81.5,85.0,78.0,4.949747468305833,2,24.1,39.5,0
AAA,2013J,572652,73.2,78.0,68.0,3.9623225512317894,5,73.7,120.0,0
AAA,2013J,580389,71.4,75.0,67.0,3.7815340802378086,5,70.6,115.4,0
AAA,2013J,581129,40.0,65.0,15.0,35.35533905932738,2,16.0,85.5,0
AAA,2013J,588775,82.8,86.0,81.0,2.4899799195977463,5,82.4,113.0,0
AAA,2013J,591774,76.2,88.0,60.0,10.25670512396647,5,73.4,114.2,0
AAA,2013J,603861,63.0,71.0,56.0,6.670832032063167,5,64.0,118.2,0
AAA,2013J,606143,66.0,78.0,54.0,16.97056274847714,2,18.6,36.5,0
AAA,2013J,704156,66.0,70.0,56.0,5.70087712549569,5,66.3,114.4,0
AAA,2013J,705379,80.8,83.0,78.0,1.9235384061671343,5,80.7,113.4,0
AAA,2013J,721259,,,,0.0,1,0.0,22.0,0
AAA,2013J,749412,72.0,83.0,61.0,9.055385138137417,5,70.2,108.2,0
AAA,2013J,760729,81.2,83.0,80.0,1.3038404810405302,5,81.5,112.2,0
AAA,2013J,905042,76.4,85.0,64.0,8.142481194328912,5,78.0,114.0,0
AAA,2013J,949618,61.8,72.0,48.0,8.64291617453276,5,60.3,113.0,0
AAA,2013J,958987,77.2,78.0,75.0,1.3038404810405295,5,77.2,114.2,0
AAA,2013J,968578,72.0,77.0,62.0,5.958187643906492,5,73.4,118.0,0
AAA,2013J,969076,59.75,82.0,36.0,18.83923211457056,4,39.6,88.5,0
AAA,2013J,971027,68.0,76.0,55.0,8.031189202104505,5,67.19999999999999,113.2,0
AAA,2013J,978739,56.6,59.0,50.0,3.714835124201341,5,56.5,114.8,0
AAA,2013J,1035023,70.0,73.0,65.0,3.391164991562634,5,69.9,113.8,0
AAA,2013J,1105478,82.6,90.0,76.0,5.272570530585626,5,81.2,115.0,0
AAA,2013J,1352868,65.5,66.0,65.0,0.7071067811865476,2,19.6,41.5,0
AAA,2013J,1401935,35.0,45.0,25.0,14.142135623730951,2,9.5,43.5,0
AAA,2013J,1402638,75.2,80.0,68.0,4.438468204234428,5,75.0,119.6,0
AAA,2013J,1414443,59.0,60.0,58.0,1.4142135623730951,2,17.8,78.0,0
AAA,2013J,1465690,81.8,87.0,76.0,5.357238094391549,5,80.9,113.6,0
AAA,2013J,1472925,61.6,67.0,54.0,4.8270073544588685,5,62.2,117.2,0
AAA,2013J,1488959,61.8,67.0,51.0,6.220932405998315,5,60.2,115.6,0
AAA,2013J,1518989,73.0,78.0,70.0,4.123105625617661,5,72.2,115.0,0
AAA,2013J,1618738,79.6,84.0,67.0,7.127411872482183,5,77.9,112.8,0
AAA,2013J,1620151,77.5,85.0,70.0,10.606601717798213,2,22.5,70.0,0
AAA,2013J,1626710,84.6,86.0,82.0,1.5165750888103116,5,84.9,111.4,0
AAA,2013J,1640609,85.0,86.0,83.0,1.2247448713915887,5,85.3,112.4,0
AAA,2013J,1686521,68.0,68.0,68.0,0.0,1,6.8,17.0,0
AAA,2013J,1729319,78.2,82.0,73.0,3.3466401061363027,5,77.5,114.2,0
AAA,2013J,1746134,83.8,87.0,81.0,2.2803508501982774,5,84.0,109.4,0
AAA,2013J,1758449,61.0,65.0,57.0,5.656854249492381,2,17.9,36.0,0
AAA,2013J,1765788,66.2,74.0,57.0,6.534523701081816,5,67.5,116.6,0
AAA,2013J,1801229,76.8,79.0,73.0,2.387467277262665,5,76.69999999999999,116.2,0
AAA,2013J,1801641,77.4,85.0,72.0,5.1768716422179155,5,77.8,113.2,0
AAA,2013J,1847830,71.0,83.0,60.0,9.137833441248532,5,69.1,113.2,0
AAA,2013J,1860318,62.6,72.0,57.0,5.770615218501403,5,62.8,114.2,0
AAA,2013J,1889511,72.0,78.0,64.0,5.787918451395112,5,71.2,116.2,0
AAA,2013J,1889577,73.6,84.0,68.0,6.426507605223851,5,73.2,115.0,0
AAA,2013J,1894188,70.4,76.0,67.0,3.3615472627943226,5,69.7,109.6,0
AAA,2013J,1938355,73.0,85.0,50.0,15.459624833740307,5,71.2,107.6,0
AAA,2013J,1942396,53.6,65.0,40.0,10.358571330062848,5,54.9,116.2,0
AAA,2013J,1970390,83.6,90.0,78.0,5.89915248150105,5,83.8,119.0,0
AAA,2013J,1976139,67.25,78.0,40.0,18.20942979154848,4,50.3,100.0,0
AAA,2013J,2011876,76.0,79.0,71.0,3.1622776601683795,5,75.6,114.2,0
AAA,2013J,2012966,78.4,82.0,75.0,3.0495901363953815,5,79.1,113.4,0
AAA,2013J,2051699,66.6,71.0,62.0,3.6469165057620945,5,67.3,116.8,0
AAA,2013J,2062879,61.2,65.0,55.0,5.215361924162119,5,62.1,113.6,0
AAA,2013J,2065691,35.666666666666664,40.0,30.0,5.131601439446884,3,18.4,56.333333333333336,0
AAA,2013J,2073016,60.333333333333336,68.0,53.0,7.505553499465134,3,30.2,72.0,0
AAA,2013J,2080474,69.6,88.0,60.0,11.171392035015154,5,67.2,115.2,0
AAA,2013J,2083877,67.8,75.0,60.0,6.016643582596529,5,68.1,116.8,0
AAA,2013J,2084066,59.75,65.0,52.0,5.560275772537427,4,41.3,98.5,0
AAA,2013J,2104505,65.6,80.0,49.0,11.126544836560898,5,64.1,113.8,0
AAA,2013J,2122180,82.4,86.0,79.0,3.0495901363953815,5,82.3,118.0,0
AAA,2013J,2139353,66.0,71.0,62.0,4.58257569495584,3,33.1,67.66666666666667,0
AAA,2013J,2143752,52.6,56.0,50.0,2.1908902300206643,5,52.9,113.0,0
AAA,2013J,2146792,70.0,78.0,60.0,7.211102550927977,5,70.0,114.2,0
AAA,2013J,2153153,62.2,71.0,55.0,6.723094525588644,5,61.8,113.4,0
AAA,2013J,2155014,73.8,79.0,64.0,5.890670590009257,5,73.9,118.6,0
AAA,2013J,2164705,70.0,70.0,70.0,0.0,1,7.0,18.0,0
AAA,2013J,2171627,69.0,72.0,65.0,2.9154759474226504,5,68.4,112.0,0
AAA,2013J,2182846,66.0,70.0,63.0,2.9154759474226504,5,66.3,112.2,0
AAA,2013J,2194100,67.2,80.0,61.0,7.39594483484024,5,67.3,113.0,0
AAA,2013J,2197016,75.6,76.0,75.0,0.5477225575051684,5,75.7,110.2,0
AAA,2013J,2208424,71.2,85.0,57.0,12.41772926102031,5,69.9,112.8,0
AAA,2013J,2229865,76.4,80.0,73.0,2.7018512172212574,5,77.1,113.6,0
AAA,2013J,2255601,54.5,71.0,38.0,23.33452377915607,2,14.7,38.5,0
AAA,2013J,2268379,83.0,87.0,79.0,3.535533905932736,5,83.6,116.8,0
AAA,2013J,2278464,51.4,60.0,35.0,9.939818911831342,5,48.9,117.8,0
AAA,2013J,2293923,61.2,72.0,52.0,7.596051605933177,5,60.5,115.2,0
AAA,2013J,2312620,32.0,51.0,11.0,20.074859899884732,3,18.099999999999998,66.66666666666667,0
AAA,2013J,2329342,57.2,72.0,44.0,10.158740079360236,5,58.800000000000004,118.6,0
AAA,2013J,2339528,80.0,85.0,74.0,4.847679857416329,5,80.5,116.4,0
AAA,2013J,2342426,73.2,80.0,67.0,5.540758070878027,5,74.2,116.6,0
AAA,2013J,2344901,51.5,67.0,35.0,14.27118308573843,4,34.5,92.25,0
AAA,2013J,2358056,67.8,79.0,56.0,9.909591313469996,5,69.8,114.2,0
AAA,2013J,2358969,68.0,68.0,68.0,0.0,1,6.8,19.0,0
AAA,2013J,2364471,83.4,90.0,72.0,6.730527468185538,5,81.6,118.4,0
AAA,2013J,2367155,75.6,86.0,63.0,11.282730166054668,5,75.7,114.2,0
AAA,2013J,2369266,50.6,57.0,40.0,6.767569726275452,5,51.2,114.8,0
AAA,2013J,2376496,73.4,85.0,64.0,7.79743547584717,5,75.5,114.0,0
AAA,2013J,2391984,73.0,75.0,68.0,3.366501646120694,4,50.9,90.5,0
AAA,2013J,2411661,46.8,57.0,40.0,8.467585252006618,5,45.3,115.2,0
AAA,2013J,2411778,80.0,83.0,77.0,4.242640687119285,2,24.3,33.0,0
AAA,2013J,2412002,82.8,89.0,72.0,6.685805860178712,5,83.1,121.6,0
AAA,2013J,2412967,77.6,80.0,72.0,3.3615472627943226,5,77.5,115.2,0
AAA,2013J,2429854,51.0,51.0,51.0,0.0,1,5.1,24.0,0
AAA,2013J,2437837,74.4,87.0,67.0,7.987490219086344,5,74.9,113.0,0
AAA,2013J,2449878,60.6,66.0,55.0,4.827007354458868,5,60.5,119.6,0
AAA,2013J,2456480,24.666666666666668,40.0,0.0,21.571586249817916,3,10.8,66.66666666666667,0
AAA,2013J,2457256,70.0,85.0,60.0,11.726039399558577,5,70.5,115.8,0
AAA,2013J,2458355,90.6,95.0,86.0,3.5777087639996625,5,91.0,114.2,0
AAA,2013J,2460080,78.8,86.0,68.0,7.259476565152615,5,77.1,117.2,0
AAA,2013J,2461190,56.0,62.0,50.0,8.48528137423857,2,16.2,37.5,0
AAA,2013J,2469673,44.5,52.0,30.0,10.148891565092221,4,40.1,142.5,0
AAA,2013J,2470694,67.0,67.0,67.0,0.0,1,13.4,55.0,0
AAA,2013J,2479954,79.6,83.0,77.0,2.7018512172212588,5,79.69999999999999,117.2,0
AAA,2013J,2481901,75.8,83.0,70.0,6.180614856144977,5,74.80000000000001,112.8,0
AAA,2013J,2482700,55.6,65.0,48.0,7.829431652425353,5,55.8,114.0,0
AAA,2013J,2486127,73.6,78.0,67.0,4.8270073544588685,5,74.4,111.6,0
AAA,2013J,2498700,77.2,81.0,74.0,2.5884358211089555,5,77.9,117.0,0
